Number of Elements,Linear Search Time,Binary Search Time,Interpolation Search Time,Tree Linear Search Time,Tree Binary Search Time,Tree Interpolation Search Time
200,1.406670e-05,4.053116e-06,1.907349e-06,1.907349e-06,1.192093e-06,9.536743e-07
300,2.193451e-05,3.814697e-06,9.536743e-07,2.145767e-06,0.000000e+00,1.192093e-06
400,2.980232e-05,5.006790e-06,1.192093e-06,2.145767e-06,9.536743e-07,7.152557e-07
500,3.814697e-05,5.245209e-06,2.145767e-06,2.145767e-06,9.536743e-07,9.536743e-07
600,4.601479e-05,4.768372e-06,9.536743e-07,9.536743e-07,1.192093e-06,9.536743e-07
700,5.459785e-05,5.960464e-06,9.536743e-07,1.907349e-06,9.536743e-07,9.536743e-07
800,6.222725e-05,5.006790e-06,1.192093e-06,9.536743e-07,0.000000e+00,9.536743e-07
900,7.176399e-05,5.245209e-06,9.536743e-07,9.536743e-07,9.536743e-07,9.536743e-07
1000,7.700920e-05,4.768372e-06,9.536743e-07,2.145767e-06,9.536743e-07,9.536743e-07
1100,8.583069e-05,9.059906e-06,7.152557e-07,7.152557e-07,0.000000e+00,9.536743e-07
1200,9.393692e-05,5.006790e-06,9.536743e-07,9.536743e-07,9.536743e-07,9.536743e-07
1300,1.018047e-04,5.960464e-06,1.192093e-06,1.192093e-06,9.536743e-07,9.536743e-07
1400,1.089573e-04,5.245209e-06,9.536743e-07,7.152557e-07,9.536743e-07,0.000000e+00
1500,1.220703e-04,6.198883e-06,1.668930e-06,1.907349e-06,7.152557e-07,9.536743e-07
1600,1.218319e-04,5.245209e-06,9.536743e-07,2.145767e-06,9.536743e-07,9.536743e-07
1700,1.342297e-04,5.006790e-06,1.907349e-06,1.907349e-06,0.000000e+00,1.192093e-06
1800,1.389980e-04,4.768372e-06,9.536743e-07,2.145767e-06,9.536743e-07,1.192093e-06
1900,1.499653e-04,5.006790e-06,9.536743e-07,1.907349e-06,1.907349e-06,2.145767e-06
2000,1.599789e-04,5.006790e-06,1.668930e-06,9.536743e-07,9.536743e-07,9.536743e-07
2100,1.618862e-04,5.722046e-06,1.907349e-06,7.152557e-07,9.536743e-07,7.152557e-07
2200,1.811981e-04,5.960464e-06,9.536743e-07,1.907349e-06,2.145767e-06,0.000000e+00
2300,1.809597e-04,6.198883e-06,1.192093e-06,9.536743e-07,0.000000e+00,0.000000e+00
2400,1.847744e-04,6.198883e-06,7.152557e-07,1.907349e-06,1.192093e-06,9.536743e-07
2500,1.947880e-04,5.960464e-06,9.536743e-07,7.152557e-07,9.536743e-07,9.536743e-07
2600,2.038479e-04,6.198883e-06,1.907349e-06,9.536743e-07,7.152557e-07,9.536743e-07
2700,2.112389e-04,5.960464e-06,9.536743e-07,1.907349e-06,9.536743e-07,1.907349e-06
2800,2.160072e-04,5.006790e-06,1.907349e-06,2.145767e-06,9.536743e-07,9.536743e-07
2900,2.250671e-04,6.198883e-06,1.668930e-06,1.192093e-06,9.536743e-07,1.192093e-06
